market,date,collateralInOVLBetween0and10,collateralInOVLBetween11and20,collateralInOVLBetween21and100,collateralInOVLBetween101and500,collateralInOVLBetween501and1000
WBTC/USDC,28/11/2022 @ 12:42:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:43:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:43:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:44:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:44:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:45:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:45:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:46:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:46:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:47:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:47:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:48:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:48:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:49:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:49:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:50:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:50:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:51:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:51:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:52:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:52:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:53:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:53:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:54:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:54:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:55:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:55:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:56:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:56:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:57:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:57:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:58:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:58:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:59:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 12:59:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:0:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:0:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:1:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:1:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:2:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:2:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:3:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:3:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:4:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:4:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:5:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:5:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:6:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:6:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:7:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:7:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:8:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:8:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:9:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:9:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:10:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:10:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:11:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:11:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:12:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:12:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:13:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:13:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:14:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:14:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:15:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:15:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:16:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:16:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:17:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:17:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:18:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:18:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:19:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:19:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:20:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:20:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:21:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:21:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:22:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:22:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:23:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:23:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:24:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:24:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:25:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:25:59,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:26:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:26:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:27:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:27:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:28:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:28:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:29:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:29:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:30:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:30:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:31:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:31:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:32:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:32:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:33:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:33:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:34:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:34:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:35:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:35:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:36:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:36:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:37:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:37:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:38:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:38:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:39:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:39:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:40:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:40:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:41:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:41:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:42:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:42:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:43:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:43:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:44:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:44:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:45:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:45:59,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:46:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:46:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:47:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:47:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:48:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:48:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:49:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:49:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:50:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:50:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:51:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:51:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:52:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:52:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:53:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:53:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:54:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:54:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:55:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:55:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:56:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:56:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:57:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:57:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:58:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:58:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:59:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 13:59:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:0:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:0:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:1:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:1:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:2:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:2:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:3:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:3:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:4:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:4:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:5:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:5:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:6:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:6:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:7:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:7:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:8:28,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:8:58,24,5,15,1,0
WBTC/USDC,28/11/2022 @ 14:9:28,24,5,15,1,0
